model,set,n,hours,wer,cer,english_word_recall,english_words,rtf,gpu_device_peak_mb
indicconformer,vaani-test,400,0.747,0.20984390735146022,0.0996402196553683,0.7819354838709678,775,0.05410205984225718,3707.5
indicconformer,indicvoices-valid,400,0.75,0.13876040703052728,0.0654950249704548,,0,0.04133810626086689,3793.5
indicwav2vec,vaani-test,400,0.747,0.3800352467270896,0.16837720128763492,0.48258064516129034,775,0.007397357393792288,4995.5
indicwav2vec,indicvoices-valid,400,0.75,0.361041363816572,0.15622736456864017,,0,0.008232039140887961,5375.5
